datetime,sales,time,weekday,holiday
2018-07-01 21:30:00,0,1290,6,0
2018-07-01 21:45:00,0,1305,6,0
2018-07-01 22:00:00,0,1320,6,0
2018-07-01 22:15:00,0,1335,6,0
2018-07-01 22:30:00,0,1350,6,0
2018-07-01 22:45:00,0,1365,6,0
2018-07-01 23:00:00,0,1380,6,0
2018-07-01 23:15:00,0,1395,6,0
2018-07-01 23:30:00,0,1410,6,0
2018-07-01 23:45:00,0,1425,6,0
2018-08-01 00:00:00,0,0,0,0
2018-08-01 00:15:00,0,15,0,0
2018-08-01 00:30:00,0,30,0,0
2018-08-01 00:45:00,0,45,0,0
2018-08-01 01:00:00,0,60,0,0
2018-08-01 01:15:00,0,75,0,0
2018-08-01 01:30:00,0,90,0,0
2018-08-01 01:45:00,0,105,0,0
2018-08-01 02:00:00,0,120,0,0
2018-08-01 02:15:00,0,135,0,0
2018-08-01 02:30:00,0,150,0,0
2018-08-01 02:45:00,0,165,0,0
2018-08-01 03:00:00,0,180,0,0
2018-08-01 03:15:00,0,195,0,0
2018-08-01 03:30:00,0,210,0,0
2018-08-01 03:45:00,0,225,0,0
2018-08-01 04:00:00,0,240,0,0
2018-08-01 04:15:00,0,255,0,0
2018-08-01 04:30:00,0,270,0,0
2018-08-01 04:45:00,0,285,0,0
2018-08-01 05:00:00,0,300,0,0
2018-08-01 05:15:00,0,315,0,0
2018-08-01 05:30:00,0,330,0,0
2018-08-01 05:45:00,0,345,0,0
2018-08-01 06:00:00,0,360,0,0
2018-08-01 06:15:00,0,375,0,0
2018-08-01 06:30:00,0,390,0,0
2018-08-01 06:45:00,0,405,0,0
2018-08-01 07:00:00,0,420,0,0
2018-08-01 07:15:00,0,435,0,0
2018-08-01 07:30:00,13,450,0,0
2018-08-01 07:45:00,27,465,0,0
2018-08-01 08:00:00,25,480,0,0
2018-08-01 08:15:00,9,495,0,0
2018-08-01 08:30:00,13,510,0,0
2018-08-01 08:45:00,27,525,0,0
2018-08-01 09:00:00,28,540,0,0
2018-08-01 09:15:00,39,555,0,0
2018-08-01 09:30:00,54,570,0,0
2018-08-01 09:45:00,34,585,0,0
2018-08-01 10:00:00,61,600,0,0
